company_id,company_name,notice_type,title,body,contract_id,employee_id,employee_name,contract_end,days_until_expiry,sent_at,sent_by,is_read,read_at,id,gs_project_id,gs_table_name,created_at,updated_at,_rid,_self,_etag,_attachments,_ts
comp04,동방물류 주식회사,regular_conversion,[정규직 전환 의무] 김계약 — 기간제 2년 초과,"안녕하세요, 최물류 사장님.

소속 직원의 기간제 근로 누적 기간이 2년을 초과하여 법률에 따른 정규직 전환 의무가 발생하였음을 안내드립니다.

■ 직원명: 김계약
■ 고용형태: 계약직
■ 최초 계약일: 2025-03-01
■ 누적 계약기간: 2년 3개월 (총 836일)

◆ 관련 법령
「기간제 및 단시간근로자 보호 등에 관한 법률」 제4조:
사용자가 2년을 초과하여 기간제근로자를 사용하는 경우에는 그 기간제근로자는 기간의 정함이 없는 근로계약을 체결한 근로자로 봅니다.

◆ 필요 조치
담당 노무사에게 정규직 근로계약서 재작성을 요청해 주세요.

※ 본 안내는 노무사 사무소에서 발송한 법적 의무 안내입니다.",cen-test-01,emp04_t8,김계약,,0,2026-05-27T09:06:30.663Z,admin,false,,4c5cd27a-89d2-4a74-af31-843ef65572ad,1720d1bf-4604-4462-bb70-daa3bc8a9f7d,company_notices,1779872791396,1779872791396,pBtjAL8RWCeIWeAAAAAAAA==,dbs/pBtjAA==/colls/pBtjAL8RWCc=/docs/pBtjAL8RWCeIWeAAAAAAAA==/,"""2504d21c-0000-0800-0000-6a16b4170000""",attachments/,1779872791
comp05,그린에너지 주식회사,general,테스트0526,고객사 앱의 모달은 정상동작 하나요?,,,,,0,2026-05-26T03:41:22.663Z,admin,false,,3e810fd5-b073-4906-b825-30521d3ee77c,1720d1bf-4604-4462-bb70-daa3bc8a9f7d,company_notices,1779766883986,1779766883986,pBtjAL8RWCceLd4AAAAAAA==,dbs/pBtjAA==/colls/pBtjAL8RWCc=/docs/pBtjAL8RWCceLd4AAAAAAA==/,"""d903fffa-0000-0800-0000-6a1516640000""",attachments/,1779766884
comp05,그린에너지 주식회사,general,모달 테스트용,앱에서 모달 잘 뜨는지 확인,,,,,0,2026-05-22T02:30:53.728Z,admin,false,,7bf5e3c5-5a74-422d-928c-dae381382aa3,1720d1bf-4604-4462-bb70-daa3bc8a9f7d,company_notices,1779417054457,1779417054457,pBtjAL8RWCcKN9wAAAAAAA==,dbs/pBtjAA==/colls/pBtjAL8RWCc=/docs/pBtjAL8RWCcKN9wAAAAAAA==/,"""3c038b3b-0000-0800-0000-6a0fbfde0000""",attachments/,1779417054
comp05,그린에너지 주식회사,general,ㅗㄹ몽ㄻ,ㄹㅇ모,,,,,0,2026-05-21T08:27:04.003Z,admin,false,,45820401-c7e7-4413-b637-968c5a061b1c,1720d1bf-4604-4462-bb70-daa3bc8a9f7d,company_notices,1779352024919,1779352024919,pBtjAL8RWCdPtdsAAAAAAA==,dbs/pBtjAA==/colls/pBtjAL8RWCc=/docs/pBtjAL8RWCdPtdsAAAAAAA==/,"""0c03dd81-0000-0800-0000-6a0ec1d80000""",attachments/,1779352024
comp01,주식회사 한울테크,contract_dispatched,[계약서 발송] 박소연 — 근로계약서가 발송되었습니다,"안녕하세요, 김대표 사장님.

소속 근로자에게 근로계약서가 발송되었습니다.

■ 근로자: 박소연
■ 고용형태: 정규직 수습
■ 계약 기간: 2025년 10월 1일 ~ 2026년 3월 31일
■ 발송 방법: 카카오 알림톡
■ 발송 시각: 2026. 5. 21. 오후 3:52:46

자세한 내용은 근로계약서 발송 관리 메뉴에서 확인하세요.",con01_t02,emp01_t02,박소연,2026-03-31,0,2026-05-21T06:52:46.235Z,마스터관리자,true,1779359919014,8ebc7e38-5f63-48a6-9f7c-3f6d27a4e5b8,1720d1bf-4604-4462-bb70-daa3bc8a9f7d,company_notices,1779346366979,1779359919700,pBtjAL8RWCfErNsAAAAAAA==,dbs/pBtjAA==/colls/pBtjAL8RWCc=/docs/pBtjAL8RWCfErNsAAAAAAA==/,"""1103cb74-0000-0800-0000-6a0ee0af0000""",attachments/,1779359919
comp04,동방물류 주식회사,contract_dispatched,[계약서 발송] 강갱신 — 근로계약서가 발송되었습니다,"안녕하세요, 최물류 사장님.

소속 근로자에게 근로계약서가 발송되었습니다.

■ 근로자: 강갱신
■ 고용형태: 정규직
■ 계약 기간: 2026년 5월 1일
■ 발송 방법: 수동 직접 배부
■ 발송 시각: 2026. 5. 21. 오후 3:48:43

자세한 내용은 근로계약서 발송 관리 메뉴에서 확인하세요.",con04_t1_new,emp04_t1,강갱신,,0,2026-05-21T06:48:43.843Z,마스터관리자,false,,aff6dd38-8a8d-4f0d-9e9a-c31cebd859c7,1720d1bf-4604-4462-bb70-daa3bc8a9f7d,company_notices,1779346124716,1779351155196,pBtjAL8RWCdMrNsAAAAAAA==,dbs/pBtjAA==/colls/pBtjAL8RWCc=/docs/pBtjAL8RWCdMrNsAAAAAAA==/,"""0b03dbea-0000-0800-0000-6a0ebe730000""",attachments/,1779351155
comp05,그린에너지 주식회사,general,모달 test,모달로 잘 보여지나요,,,,,0,2026-05-21T06:36:29.897Z,마스터관리자,false,,3777415c-0df8-48b9-b007-169722058c43,1720d1bf-4604-4462-bb70-daa3bc8a9f7d,company_notices,1779345390848,1779351156251,pBtjAL8RWCfhqtsAAAAAAA==,dbs/pBtjAA==/colls/pBtjAL8RWCc=/docs/pBtjAL8RWCfhqtsAAAAAAA==/,"""0b030beb-0000-0800-0000-6a0ebe740000""",attachments/,1779351156
comp05,그린에너지 주식회사,general,예약 발송 테스트,ㄴㅇㄹㅇㄶㅇㄴㅎㄴㅇㅎ,,,,,0,2026-05-21T10:06:00.005Z,마스터관리자,false,,a0e2fa14-bf9c-43bf-8e3b-ac5cd50f69f3,1720d1bf-4604-4462-bb70-daa3bc8a9f7d,company_notices,1779343636210,1779357965226,pBtjAL8RWCcCp9sAAAAAAA==,dbs/pBtjAA==/colls/pBtjAL8RWCc=/docs/pBtjAL8RWCcCp9sAAAAAAA==/,"""1003d751-0000-0800-0000-6a0ed90d0000""",attachments/,1779357965
comp05,그린에너지 주식회사,general,test 3,예약 발송 취소 테스트용,,,,,0,2026-05-21T05:44:59.994Z,admin,false,,84e1e625-78d0-43b4-b6dc-ca5a954cd01a,1720d1bf-4604-4462-bb70-daa3bc8a9f7d,company_notices,1779342188799,1779352568537,pBtjAL8RWCf0n9sAAAAAAA==,dbs/pBtjAA==/colls/pBtjAL8RWCc=/docs/pBtjAL8RWCf0n9sAAAAAAA==/,"""0c0323dd-0000-0800-0000-6a0ec3f80000""",attachments/,1779352568
comp05,그린에너지 주식회사,general,test2,즉시 발송 테스트,,,,,0,2026-05-21T05:41:40.175Z,admin,false,,bad94692-8427-4617-a305-5db56e125a07,1720d1bf-4604-4462-bb70-daa3bc8a9f7d,company_notices,1779342102445,1779352569612,pBtjAL8RWCffn9sAAAAAAA==,dbs/pBtjAA==/colls/pBtjAL8RWCc=/docs/pBtjAL8RWCffn9sAAAAAAA==/,"""0c034edd-0000-0800-0000-6a0ec3f90000""",attachments/,1779352569
