contract_id,employee_id,employee_name,company_id,company_name,contract_type,dispatch_method,dispatch_status,recipient,dispatched_at,dispatched_by,note,contract_start,contract_end,id,gs_project_id,gs_table_name,created_at,updated_at,_rid,_self,_etag,_attachments,_ts
con01_t02,emp01_t02,박소연,comp01,주식회사 한울테크,정규직 수습,알림톡,완료,010-2222-3002,2026-05-21T06:52:43.004Z,마스터관리자,미발송 목록 알림톡 — 박소연,2025-10-01,2026-03-31,99f6cbeb-b6b1-455a-a519-686b6a41414c,1720d1bf-4604-4462-bb70-daa3bc8a9f7d,contract_dispatch,1779346366072,1779351247491,pBtjAL8RWCfDrNsAAAAAAA==,dbs/pBtjAA==/colls/pBtjAL8RWCc=/docs/pBtjAL8RWCfDrNsAAAAAAA==/,"""0b03d7fd-0000-0800-0000-6a0ebecf0000""",attachments/,1779351247
con04_t1_new,emp04_t1,강갱신,comp04,동방물류 주식회사,정규직,수동배부,완료,직접배부,2026-05-21T06:48:42.673Z,마스터관리자,출력물 직접 교부 완료 (관리자 확인),2026-05-01,,1984a07d-ffbc-497d-b123-cb6e50fc3844,1720d1bf-4604-4462-bb70-daa3bc8a9f7d,contract_dispatch,1779346123613,1779351248816,pBtjAL8RWCdIrNsAAAAAAA==,dbs/pBtjAA==/colls/pBtjAL8RWCc=/docs/pBtjAL8RWCdIrNsAAAAAAA==/,"""0b030cfe-0000-0800-0000-6a0ebed00000""",attachments/,1779351248
con01_12,emp01_12,류가은,comp01,주식회사 한울테크,계약직,알림톡,완료,010-1001-0112,2026-05-19T03:37:10.141Z,admin,일괄 알림톡 — 류가은,2025-01-06,2025-06-30,913e34de-4ddc-4b20-a8b3-54421e516a8d,1720d1bf-4604-4462-bb70-daa3bc8a9f7d,contract_dispatch,1779161831054,1779352581938,pBtjAL8RWCeRTNkAAAAAAA==,dbs/pBtjAA==/colls/pBtjAL8RWCc=/docs/pBtjAL8RWCeRTNkAAAAAAA==/,"""0c039edf-0000-0800-0000-6a0ec4050000""",attachments/,1779352581
con01_t03,emp01_t03,최병준,comp01,주식회사 한울테크,계약직,알림톡,완료,010-3333-3003,2026-05-19T03:37:09.211Z,admin,일괄 알림톡 — 최병준,2025-01-06,2026-01-05,f4cb601d-defd-4a35-b7f4-6fd076ec8091,1720d1bf-4604-4462-bb70-daa3bc8a9f7d,contract_dispatch,1779161829967,1779352582736,pBtjAL8RWCeQTNkAAAAAAA==,dbs/pBtjAA==/colls/pBtjAL8RWCc=/docs/pBtjAL8RWCeQTNkAAAAAAA==/,"""0c03bedf-0000-0800-0000-6a0ec4060000""",attachments/,1779352582
ct-sev-D1,emp-sev-D,최신입,co-sev-test-01,[퇴직급여테스트] 한빛노무법인,정규직,알림톡,완료,010-1111-0004,2026-05-19T03:37:07.340Z,admin,일괄 알림톡 — 최신입,2025-01-06,,0965e143-fed8-456b-8635-a6a794256126,1720d1bf-4604-4462-bb70-daa3bc8a9f7d,contract_dispatch,1779161828373,1779352584250,pBtjAL8RWCePTNkAAAAAAA==,dbs/pBtjAA==/colls/pBtjAL8RWCc=/docs/pBtjAL8RWCePTNkAAAAAAA==/,"""0c030ae0-0000-0800-0000-6a0ec4080000""",attachments/,1779352584
con05_06,emp05_06,임솔라,comp05,그린에너지 주식회사,정규직,이메일,완료,solar.lim@greenenergy.co.kr,2026-05-19T03:06:01.606Z,admin,수신 이메일: solar.lim@greenenergy.co.kr,2024-01-01,2024-12-31,a77bfbd8-5b92-4b80-8efe-de170400c1ec,1720d1bf-4604-4462-bb70-daa3bc8a9f7d,contract_dispatch,1779159962290,1779352585297,pBtjAL8RWCe8StkAAAAAAA==,dbs/pBtjAA==/colls/pBtjAL8RWCc=/docs/pBtjAL8RWCe8StkAAAAAAA==/,"""0c033de0-0000-0800-0000-6a0ec4090000""",attachments/,1779352585
con05_11,emp05_11,나태양,comp05,그린에너지 주식회사,정규직,수동배부,완료,직접배부,2026-05-19T03:05:57.286Z,admin,출력물 직접 교부 완료 (관리자 확인),2024-02-05,2024-12-31,d162fcdd-58b5-41eb-852d-afee758a2587,1720d1bf-4604-4462-bb70-daa3bc8a9f7d,contract_dispatch,1779159958159,1779352586938,pBtjAL8RWCe7StkAAAAAAA==,dbs/pBtjAA==/colls/pBtjAL8RWCc=/docs/pBtjAL8RWCe7StkAAAAAAA==/,"""0c0381e0-0000-0800-0000-6a0ec40a0000""",attachments/,1779352586
con05_12,emp05_12,최그린,comp05,그린에너지 주식회사,정규직,수동배부,완료,직접배부,2026-05-19T03:05:49.462Z,admin,출력물 직접 교부 완료 (관리자 확인),2024-01-01,2024-12-31,4b7a718c-111c-4b6a-b8fe-149bd60ec070,1720d1bf-4604-4462-bb70-daa3bc8a9f7d,contract_dispatch,1779159953251,1779352588397,pBtjAL8RWCe5StkAAAAAAA==,dbs/pBtjAA==/colls/pBtjAL8RWCc=/docs/pBtjAL8RWCe5StkAAAAAAA==/,"""0c03c6e0-0000-0800-0000-6a0ec40c0000""",attachments/,1779352588
con05_05,emp05_05,구에코,comp05,그린에너지 주식회사,정규직,알림톡,완료,010-1234-5605,2026-05-19T03:05:52.462Z,admin,수신번호: 010-1234-5605,2024-01-01,2024-12-31,0fae1277-e705-4cc0-868a-5c20c75ae43b,1720d1bf-4604-4462-bb70-daa3bc8a9f7d,contract_dispatch,1779159953085,1779352591738,pBtjAL8RWCe4StkAAAAAAA==,dbs/pBtjAA==/colls/pBtjAL8RWCc=/docs/pBtjAL8RWCe4StkAAAAAAA==/,"""0c0343e1-0000-0800-0000-6a0ec40f0000""",attachments/,1779352591
con05_12,emp05_12,최그린,comp05,그린에너지 주식회사,정규직,알림톡,완료,010-1234-5612,2026-05-19T03:05:46.502Z,admin,수신번호: 010-1234-5612,2024-01-01,2024-12-31,b1a65388-2195-4406-95f6-a767cada032a,1720d1bf-4604-4462-bb70-daa3bc8a9f7d,contract_dispatch,1779159947058,1779352592549,pBtjAL8RWCe2StkAAAAAAA==,dbs/pBtjAA==/colls/pBtjAL8RWCc=/docs/pBtjAL8RWCe2StkAAAAAAA==/,"""0c0362e1-0000-0800-0000-6a0ec4100000""",attachments/,1779352592
