id,company_id,name,gender,employment_category,employee_number,department,position,hire_date,contract_period,status,note,created_at,gs_project_id,gs_table_name,updated_at,_rid,_self,_etag,_attachments,id_number,phone,address,_ts
emp05_prob03,comp05,박수습,남,계약직 수습,GE-2026-03,태양광사업팀,사원,2026-03-01,1년,재직,계약직 수습 입사 (2026-03-01),1779793146117,1720d1bf-4604-4462-bb70-daa3bc8a9f7d,employees,1779855242605,pBtjAL8RWCdz694AAAAAAA==,dbs/pBtjAA==/colls/pBtjAL8RWCc=/docs/pBtjAL8RWCdz694AAAAAAA==/,"""1904cb68-0000-0800-0000-6a166f8a0000""",attachments/,001104-3,010-7483-2156,"인천광역시 남동구 구월로 123번길 45, 2층",1779855242
emp05_prob01,comp05,김수습,남,정규직 수습,GE-2026-01,신재생에너지팀,사원,2026-04-01,기간의 정함 없음,재직,정규직 수습 입사 (2026-02-11),1779793146117,1720d1bf-4604-4462-bb70-daa3bc8a9f7d,employees,1779855241002,pBtjAL8RWCdy694AAAAAAA==,dbs/pBtjAA==/colls/pBtjAL8RWCc=/docs/pBtjAL8RWCdy694AAAAAAA==/,"""19049368-0000-0800-0000-6a166f890000""",attachments/,930815-1,010-3824-5917,"서울특별시 강서구 화곡로 48길 12, 101동 504호",1779855241
emp05_prob02,comp05,이수습,여,계약직 수습,GE-2026-02,에너지관리팀,사원,2026-01-09,1년,재직,계약직 수습 입사 (2026-02-21),1779793146117,1720d1bf-4604-4462-bb70-daa3bc8a9f7d,employees,1779855241869,pBtjAL8RWCdx694AAAAAAA==,dbs/pBtjAA==/colls/pBtjAL8RWCc=/docs/pBtjAL8RWCdx694AAAAAAA==/,"""1904b468-0000-0800-0000-6a166f890000""",attachments/,970322-2,010-5261-8034,"경기도 부천시 원미구 부일로 209, 3층 301호",1779855241
emp04_t6,comp04,박계약파기,여,계약직,,,,2026-08-01,,재직,,1779274466306,1720d1bf-4604-4462-bb70-daa3bc8a9f7d,employees,1779274466306,pBtjAL8RWCdmj9oAAAAAAA==,dbs/pBtjAA==/colls/pBtjAL8RWCc=/docs/pBtjAL8RWCdmj9oAAAAAAA==/,"""d302690b-0000-0800-0000-6a0d92e20000""",attachments/,,,,1779274466
emp04_t5,comp04,이계약해지,남,계약직,,,,2025-01-01,,퇴직,,1779274464925,1720d1bf-4604-4462-bb70-daa3bc8a9f7d,employees,1779274464925,pBtjAL8RWCdkj9oAAAAAAA==,dbs/pBtjAA==/colls/pBtjAL8RWCc=/docs/pBtjAL8RWCdkj9oAAAAAAA==/,"""d302470b-0000-0800-0000-6a0d92e00000""",attachments/,,,,1779274464
emp04_t8,comp04,김계약,여,계약직,,,,2025-03-01,,재직,,1779274464092,1720d1bf-4604-4462-bb70-daa3bc8a9f7d,employees,1779279845101,pBtjAL8RWCdij9oAAAAAAA==,dbs/pBtjAA==/colls/pBtjAL8RWCc=/docs/pBtjAL8RWCdij9oAAAAAAA==/,"""d6028876-0000-0800-0000-6a0da7e50000""",attachments/,,010-1001-0008,,1779279845
emp04_t7,comp04,정규대리,남,정규직,,,,2024-03-01,,재직,,1779274463212,1720d1bf-4604-4462-bb70-daa3bc8a9f7d,employees,1779274463212,pBtjAL8RWCdhj9oAAAAAAA==,dbs/pBtjAA==/colls/pBtjAL8RWCc=/docs/pBtjAL8RWCdhj9oAAAAAAA==/,"""d3021f0b-0000-0800-0000-6a0d92df0000""",attachments/,,,,1779274463
emp-sev-B,co-sev-test-01,이계약,여,계약직,SEV-002,마케팅팀,대리,2022-01-03,,active,,1779090672578,1720d1bf-4604-4462-bb70-daa3bc8a9f7d,employees,1779090672578,pBtjAL8RWCevltgAAAAAAA==,dbs/pBtjAA==/colls/pBtjAL8RWCc=/docs/pBtjAL8RWCevltgAAAAAAA==/,"""5102bf63-0000-0800-0000-6a0ac4f00000""",attachments/,,010-1111-0002,,1779090672
emp-sev-C,co-sev-test-01,박다수당,남,정규직,SEV-003,연구소,수석연구원,2019-06-01,,active,,1779090672578,1720d1bf-4604-4462-bb70-daa3bc8a9f7d,employees,1779090672578,pBtjAL8RWCeultgAAAAAAA==,dbs/pBtjAA==/colls/pBtjAL8RWCc=/docs/pBtjAL8RWCeultgAAAAAAA==/,"""5102be63-0000-0800-0000-6a0ac4f00000""",attachments/,,010-1111-0003,,1779090672
emp-sev-H,co-sev-test-01,장해지,남,계약직,SEV-008,물류팀,사원,2022-03-01,,resigned,,1779090672578,1720d1bf-4604-4462-bb70-daa3bc8a9f7d,employees,1779090672578,pBtjAL8RWCetltgAAAAAAA==,dbs/pBtjAA==/colls/pBtjAL8RWCc=/docs/pBtjAL8RWCetltgAAAAAAA==/,"""5102bd63-0000-0800-0000-6a0ac4f00000""",attachments/,,010-2222-0003,,1779090672
emp-sev-A,co-sev-test-01,김정규,남,정규직,SEV-001,개발팀,팀장,2020-03-02,,active,,1779090672577,1720d1bf-4604-4462-bb70-daa3bc8a9f7d,employees,1779090672577,pBtjAL8RWCesltgAAAAAAA==,dbs/pBtjAA==/colls/pBtjAL8RWCc=/docs/pBtjAL8RWCesltgAAAAAAA==/,"""5102bc63-0000-0800-0000-6a0ac4f00000""",attachments/,,010-1111-0001,,1779090672
emp-sev-I,co-sev-test-01,한미만,여,계약직,SEV-009,고객지원팀,사원,2024-05-01,,resigned,,1779090672578,1720d1bf-4604-4462-bb70-daa3bc8a9f7d,employees,1779090672578,pBtjAL8RWCerltgAAAAAAA==,dbs/pBtjAA==/colls/pBtjAL8RWCc=/docs/pBtjAL8RWCerltgAAAAAAA==/,"""5102bb63-0000-0800-0000-6a0ac4f00000""",attachments/,,010-2222-0004,,1779090672
emp-sev-E,co-sev-test-01,정무급여,남,정규직,SEV-005,영업팀,과장,2021-04-01,,active,,1779090672578,1720d1bf-4604-4462-bb70-daa3bc8a9f7d,employees,1779090672578,pBtjAL8RWCeqltgAAAAAAA==,dbs/pBtjAA==/colls/pBtjAL8RWCc=/docs/pBtjAL8RWCeqltgAAAAAAA==/,"""5102ba63-0000-0800-0000-6a0ac4f00000""",attachments/,,010-1111-0005,,1779090672
emp-sev-J,co-sev-test-01,오노이메일,남,정규직,SEV-010,생산팀,반장,2020-09-01,,resigned,,1779090672578,1720d1bf-4604-4462-bb70-daa3bc8a9f7d,employees,1779090672578,pBtjAL8RWCepltgAAAAAAA==,dbs/pBtjAA==/colls/pBtjAL8RWCc=/docs/pBtjAL8RWCepltgAAAAAAA==/,"""5102b963-0000-0800-0000-6a0ac4f00000""",attachments/,,010-2222-0005,,1779090672
emp-sev-D,co-sev-test-01,최신입,여,정규직,SEV-004,인사팀,사원,2025-01-06,,active,,1779090672578,1720d1bf-4604-4462-bb70-daa3bc8a9f7d,employees,1779090672578,pBtjAL8RWCeoltgAAAAAAA==,dbs/pBtjAA==/colls/pBtjAL8RWCc=/docs/pBtjAL8RWCeoltgAAAAAAA==/,"""5102b863-0000-0800-0000-6a0ac4f00000""",attachments/,,010-1111-0004,,1779090672
emp-sev-F,co-sev-test-01,강정상,남,정규직,SEV-006,기획팀,차장,2018-05-01,,resigned,,1779090672578,1720d1bf-4604-4462-bb70-daa3bc8a9f7d,employees,1779090672578,pBtjAL8RWCenltgAAAAAAA==,dbs/pBtjAA==/colls/pBtjAL8RWCc=/docs/pBtjAL8RWCenltgAAAAAAA==/,"""5102b663-0000-0800-0000-6a0ac4f00000""",attachments/,,010-2222-0001,,1779090672
emp-sev-G,co-sev-test-01,윤갱신,여,계약직,SEV-007,총무팀,주임,2021-07-01,,resigned,,1779090672578,1720d1bf-4604-4462-bb70-daa3bc8a9f7d,employees,1779090672578,pBtjAL8RWCemltgAAAAAAA==,dbs/pBtjAA==/colls/pBtjAL8RWCc=/docs/pBtjAL8RWCemltgAAAAAAA==/,"""5102b763-0000-0800-0000-6a0ac4f00000""",attachments/,,010-2222-0002,,1779090672
emp04_t2,comp04,박계약예정,여,계약직,,관리팀,사원,2026-06-01,,재직,테스트-계약예정,1776337904517,1720d1bf-4604-4462-bb70-daa3bc8a9f7d,employees,1779279846235,pBtjAL8RWCecXbcAAAAAAA==,dbs/pBtjAA==/colls/pBtjAL8RWCc=/docs/pBtjAL8RWCecXbcAAAAAAA==/,"""d602c376-0000-0800-0000-6a0da7e60000""",attachments/,9505125,010-1001-0002,서울시 강동구 천호대로 50,1779279846
emp04_t4,comp04,최만료,여,계약직,,물류팀,사원,2024-01-01,,퇴직,테스트-만료,1776337904517,1720d1bf-4604-4462-bb70-daa3bc8a9f7d,employees,1776337904517,pBtjAL8RWCebXbcAAAAAAA==,dbs/pBtjAA==/colls/pBtjAL8RWCc=/docs/pBtjAL8RWCebXbcAAAAAAA==/,"""dc01a444-0000-0800-0000-69e0c3f00000""",attachments/,9101016,010-1001-0004,서울시 강남구 테헤란로 100,1776337904
emp04_t1,comp04,강갱신,남,정규직,,물류팀,대리,2023-03-01,,재직,테스트-갱신됨/갱신예정,1776337904517,1720d1bf-4604-4462-bb70-daa3bc8a9f7d,employees,1776337904517,pBtjAL8RWCeaXbcAAAAAAA==,dbs/pBtjAA==/colls/pBtjAL8RWCc=/docs/pBtjAL8RWCeaXbcAAAAAAA==/,"""dc01a344-0000-0800-0000-69e0c3f00000""",attachments/,9003015,010-1001-0001,서울시 송파구 올림픽로 100,1776337904
emp01_t04,comp01,김수민,여,계약직 수습,HT-2026-016,경영지원팀,사원,2026-02-03,,재직,테스트 데이터 - 계약직 수습,1776334477093,1720d1bf-4604-4462-bb70-daa3bc8a9f7d,employees,1776334477093,pBtjAL8RWCfPVbcAAAAAAA==,dbs/pBtjAA==/colls/pBtjAL8RWCc=/docs/pBtjAL8RWCfPVbcAAAAAAA==/,"""db0168bb-0000-0800-0000-69e0b68d0000""",attachments/,010804-4,010-4444-3004,서울특별시 동대문구 왕산로 214,1776334477
emp01_t01,comp01,서지훈,남,정규직,HT-2024-013,개발팀,팀장,2024-03-04,,재직,테스트 데이터 - 정규직,1776334477093,1720d1bf-4604-4462-bb70-daa3bc8a9f7d,employees,1776334477093,pBtjAL8RWCfOVbcAAAAAAA==,dbs/pBtjAA==/colls/pBtjAL8RWCc=/docs/pBtjAL8RWCfOVbcAAAAAAA==/,"""db0167bb-0000-0800-0000-69e0b68d0000""",attachments/,880315-1,010-1111-3001,"서울특별시 성동구 왕십리로 50, 101호",1776334477
emp01_t03,comp01,최병준,남,계약직,HT-2025-015,영업팀,대리,2025-01-06,,재직,테스트 데이터 - 계약직,1776334477093,1720d1bf-4604-4462-bb70-daa3bc8a9f7d,employees,1779279847229,pBtjAL8RWCfNVbcAAAAAAA==,dbs/pBtjAA==/colls/pBtjAL8RWCc=/docs/pBtjAL8RWCfNVbcAAAAAAA==/,"""d602f176-0000-0800-0000-6a0da7e70000""",attachments/,920520-1,010-3333-3003,경기도 수원시 팔달구 중부대로 254,1779279847
emp01_t05,comp01,이덕수,남,일용직,HT-2026-017,생산팀,작업원,2026-04-01,,재직,테스트 데이터 - 일용직,1776334477093,1720d1bf-4604-4462-bb70-daa3bc8a9f7d,employees,1776334477093,pBtjAL8RWCfMVbcAAAAAAA==,dbs/pBtjAA==/colls/pBtjAL8RWCc=/docs/pBtjAL8RWCfMVbcAAAAAAA==/,"""db0165bb-0000-0800-0000-69e0b68d0000""",attachments/,740630-1,010-5555-3005,경기도 안산시 단원구 원포공단로 35,1776334477
emp01_t02,comp01,박소연,여,정규직 수습,HT-2025-014,마케팅팀,사원,2025-10-01,,재직,테스트 데이터 - 정규직 수습,1776334477093,1720d1bf-4604-4462-bb70-daa3bc8a9f7d,employees,1776334477093,pBtjAL8RWCfLVbcAAAAAAA==,dbs/pBtjAA==/colls/pBtjAL8RWCc=/docs/pBtjAL8RWCfLVbcAAAAAAA==/,"""db0164bb-0000-0800-0000-69e0b68d0000""",attachments/,980210-2,010-2222-3002,"서울특별시 광진구 능동로 120, 302호",1776334477
emp_daily_001,comp04,박일용,남,일용직,D001,물류,작업원,2026-01-01,,재직,일용직 테스트 직원,1775749856807,1720d1bf-4604-4462-bb70-daa3bc8a9f7d,employees,1775749856807,pBtjAL8RWCdUFa4AAAAAAA==,dbs/pBtjAA==/colls/pBtjAL8RWCc=/docs/pBtjAL8RWCdUFa4AAAAAAA==/,"""8500d3a9-0000-0800-0000-69d7cae00000""",attachments/,8501011,010-5555-1234,서울시 강동구,1775749856
emp06_03,comp06,박기획,남,정규직,TS2025003,기획팀,사원,2025-10-01,정규직,퇴직,계약 만료로 퇴사,1775713247099,1720d1bf-4604-4462-bb70-daa3bc8a9f7d,employees,1775713247099,pBtjAL8RWCceR60AAAAAAA==,dbs/pBtjAA==/colls/pBtjAL8RWCc=/docs/pBtjAL8RWCceR60AAAAAAA==/,"""8200a7e1-0000-0800-0000-69d73bdf0000""",attachments/,950712-1******,010-5555-6666,경기도 성남시 분당구 정자동 789,1775713247
emp06_02,comp06,이디자인,여,정규직,TS2025002,디자인팀,대리,2025-10-01,정규직,퇴직,계약 만료로 퇴사,1775713246631,1720d1bf-4604-4462-bb70-daa3bc8a9f7d,employees,1775713246631,pBtjAL8RWCcdR60AAAAAAA==,dbs/pBtjAA==/colls/pBtjAL8RWCc=/docs/pBtjAL8RWCcdR60AAAAAAA==/,"""8200a6e1-0000-0800-0000-69d73bde0000""",attachments/,920528-2******,010-3333-4444,서울특별시 서초구 서초동 456,1775713246
emp06_01,comp06,김개발,남,정규직,TS2025001,개발팀,과장,2025-10-01,정규직,퇴직,계약 만료로 퇴사,1775713246164,1720d1bf-4604-4462-bb70-daa3bc8a9f7d,employees,1775713246164,pBtjAL8RWCcbR60AAAAAAA==,dbs/pBtjAA==/colls/pBtjAL8RWCc=/docs/pBtjAL8RWCcbR60AAAAAAA==/,"""8200a4e1-0000-0800-0000-69d73bde0000""",attachments/,880315-1******,010-1111-2222,서울특별시 강남구 역삼동 123,1775713246
emp05_15,comp05,미래수,여,정규직,,,,2024-04-01,,재직,,1778742586262,1720d1bf-4604-4462-bb70-daa3bc8a9f7d,employees,1779274529812,pBtjAL8RWCeB7qsAAAAAAA==,dbs/pBtjAA==/colls/pBtjAL8RWCc=/docs/pBtjAL8RWCeB7qsAAAAAAA==/,"""d3022314-0000-0800-0000-6a0d93210000""",attachments/,,010-1234-5615,,1779274529
emp05_04,comp05,이태풍,남,정규직,,,,2024-01-01,,재직,,1778742586262,1720d1bf-4604-4462-bb70-daa3bc8a9f7d,employees,1779274530704,pBtjAL8RWCeA7qsAAAAAAA==,dbs/pBtjAA==/colls/pBtjAL8RWCc=/docs/pBtjAL8RWCeA7qsAAAAAAA==/,"""d3024414-0000-0800-0000-6a0d93220000""",attachments/,,010-1234-5604,,1779274530
emp05_08,comp05,한솔라,여,정규직,,,,2024-01-01,,재직,,1778742586262,1720d1bf-4604-4462-bb70-daa3bc8a9f7d,employees,1779274531560,pBtjAL8RWCd-7qsAAAAAAA==,dbs/pBtjAA==/colls/pBtjAL8RWCc=/docs/pBtjAL8RWCd-7qsAAAAAAA==/,"""d3026114-0000-0800-0000-6a0d93230000""",attachments/,,010-1234-5608,,1779274531
emp05_06,comp05,임솔라,여,정규직,,,,2024-01-01,,재직,,1778742586262,1720d1bf-4604-4462-bb70-daa3bc8a9f7d,employees,1779274532583,pBtjAL8RWCd+7qsAAAAAAA==,dbs/pBtjAA==/colls/pBtjAL8RWCc=/docs/pBtjAL8RWCd+7qsAAAAAAA==/,"""d3028614-0000-0800-0000-6a0d93240000""",attachments/,,010-1234-5606,,1779274532
emp05_14,comp05,이재황,남,정규직,,,,2024-01-01,,재직,,1778742586262,1720d1bf-4604-4462-bb70-daa3bc8a9f7d,employees,1779274533640,pBtjAL8RWCd97qsAAAAAAA==,dbs/pBtjAA==/colls/pBtjAL8RWCc=/docs/pBtjAL8RWCd97qsAAAAAAA==/,"""d302a714-0000-0800-0000-6a0d93250000""",attachments/,,010-1234-5614,,1779274533
